ledger_id,field_or_source,clock,rights_disposition_ref_freeze_s8,used_in_this_packet,coverage_window_achieved,missingness_state,why,prospectively_observable,note
S011,Sell-through/sell-in wedge before 2024-03-31,operating + accounting_translation,not_applicable,no,M0 and M1 (2018-01-01..2023-12-31),not_reconstructable,"Both legs are needed in comparable windows. In M0/M1 the issuer cited either no retail figure or a custom-segment figure on a non-quarter-aligned window.",no,"Confirms IMCE-00 freeze §7.1: wedge legs exist for E2-E5 only. Typed absence — NOT backfillable, NOT zero."
S012,Per-brand revenue,accounting_translation,GO,partial,"CELSIUS brand YoY from 2025Q3; Alani dollars from 2025Q2; Rockstar dollars from 2026Q2",not_available_for_date,Issuer began per-brand revenue commentary only after the portfolio became multi-brand,yes,"Before 2025Q2 consolidated revenue IS the CELSIUS brand (plus international); after it, consolidated-vs-brand comparisons are invalid."
S013,Distribution points and ACV,operating,GO_LIMITED (issuer-disclosed Circana),partial,FY2025 and 2026Q2 only,not_available_for_date,"First disclosed for FY2025 (2026-02-26). No distribution-point or ACV series exists for 2018-2024 in the filings reviewed.",yes,"The productivity-per-point read (2026Q2, +16% QoQ) has no historical comparator. A single observation is not a trend."
S014,Earnings-call transcripts,operating,not verified in freeze §8 rights matrix,no,none,rights_blocked,"Transcript reproduction rights were not established for this wave; no transcript text is quoted or relied on anywhere in this packet.",unknown,"Every issuer statement cited here comes from a filed 8-K/10-Q/10-K or a filed EX-99.1 — all public first-party. Resolving transcript rights would add management Q&A, which is where channel-inventory colour usually lives."
S015,Analyst estimate revisions,market_recognition,REUSE_LIMITED (EQUITY_REVISIONS — prospective-from-capture),no,none,not_reconstructable,"Prospective-from-capture by construction: no captured historical snapshot exists for 2018-2026",no,"Freeze §6 control 10 is a RULE: absence of a captured historical snapshot => not_reconstructable, dropped, never backfilled. A current-vintage estimate history would be a backfill and is forbidden."
S016,Positioning / short interest / borrow,market_recognition,"REUSE (FINRA_SHORT_INTEREST, knowable-date law) / REUSE_LIMITED (IBKR_BORROW)",no,none,not_reconstructable,Not collected in this wave; borrow is prospective-from-capture,partial,"FINRA short interest is usable historically ONLY on its knowable_date (publication date), never the settlement date. Not used here rather than used wrongly."
S017,Stock Identity identity_epoch,market_recognition,not_applicable,no,none,not_yet_built,"Stock Identity W4 'Epoch detector v1' is status: todo; engine/stock_identity/fingerprint.py carries a provisional 'epoch_0' placeholder",no,"No identity epoch is asserted anywhere in this packet. The M0-M6 mechanism epochs are a DISTINCT record class (freeze D2 / G8-M5) and are never substituted for it."
S018,Data OS company_id / security_id,all,not_applicable (in-repo),no,none,unresolved_identity,Not resolved in this wave; the packet cites the issuer by CIK 0001341766 and the canonical price plane by store key,partial,"Any future Episode citation MUST carry the resolving security_id plus a catalog_as_of stamp (freeze D2 / G8-M4). CIK is the identity anchor used here and is stable across the window; the former name 'VECTOR VENTURES CORP.' predates it."
S019,FIF accounting packets,accounting_translation,in-repo,no,none,not_yet_built,"FIF-2A query bridge (#5983) is fixture-proven, not a production issuer feed",no,"This packet reads SEC XBRL directly rather than asserting FIF coverage that does not exist."
S020,Recognition telemetry after 2026-08-12,market_recognition,REUSE,no,2026-08-13..2026-08-21,not_available_for_date,"The committed canonical store's last CELH daily bar is 2026-08-12 (last data commit touching the file: 5a6f02a75675, 2026-08-12)",yes,"Nine calendar days at the right edge are simply absent. Recorded as absent, not carried forward and not filled with 'no change'."
